,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments
33,P-02805,Abega,Théophile,1954-07-09,0,0,0,1,0,1,1982
34,P-85334,Abegglen,André,1909-03-07,0,0,0,0,1,2,"1934, 1938"
35,P-99390,Abel,not applicable,1952-09-01,0,0,1,0,0,1,1978
36,P-24945,Abelardo,not applicable,1970-03-19,0,0,1,0,0,2,"1994, 1998"
37,P-32023,Abeledo,Ramón,1937-04-29,0,0,0,1,0,1,1962
38,P-58512,Abena,Ninon,1994-09-05,1,0,0,1,0,2,"2015, 2019"
39,P-96775,Abeso,Natalia,1986-09-05,1,0,0,1,0,1,2011
40,P-00685,Abid,Anad,1955-08-03,0,0,0,0,1,1,1986
41,P-04469,Abidal,Eric,1979-09-11,0,0,1,0,0,2,"2006, 2010"
42,P-72635,Abily,Camille,1984-12-05,1,0,0,1,0,2,"2011, 2015"
43,P-98382,Ablanedo,Juan Carlos,1963-09-02,0,1,0,0,0,2,"1986, 1990"
44,P-22858,Abonyi,Attila,1946-08-16,0,0,0,0,1,1,1974
45,P-53452,Aboubakar,Vincent,1992-01-22,0,0,0,0,1,3,"2010, 2014, 2022"
46,P-48295,Aboukhlal,Zakaria,2000-02-18,0,0,0,1,0,1,2022
47,P-62807,Abouzeid,Taher,1962-04-10,0,0,0,1,0,1,1990
48,P-04266,Abrahamsson,Henock,1909-10-29,0,1,0,0,0,1,1938
49,P-64134,Abramczik,Rüdiger,1956-02-18,0,0,0,0,1,1,1978
50,P-51300,Abrami,Lahcen,1969-12-31,0,0,1,0,0,1,1998
51,P-91786,Abreu,Marco,1974-12-08,0,0,1,0,0,1,2006
52,P-64372,Abreu,Sebastián,1976-10-17,0,0,0,0,1,2,"2002, 2010"
53,P-95918,Aby,Jessica,1998-06-16,1,0,0,1,0,1,2015
54,P-12036,Acácio,not applicable,1959-01-20,0,1,0,0,0,1,1990
55,P-13103,Acasuzo,Eusebio,1952-04-08,0,1,0,0,0,1,1982
56,P-17067,Aceros,Germán,1938-09-30,0,0,0,0,1,1,1962
57,P-75402,Aceval,Danilo,1975-09-15,0,1,0,0,0,1,1998
58,P-81409,Acevedo,David,1937-02-20,0,0,1,0,0,1,1958
59,P-48167,Acevedo,Eduardo Mario,1959-09-25,0,0,1,0,0,1,1986
60,P-28429,Acevedo,Elmer,1946-02-24,0,0,0,0,1,1,1970
61,P-01989,Achá,Alberto,1917-02-18,0,0,1,0,0,1,1950
62,P-29870,Achilier,Gabriel,1985-03-24,0,0,1,0,0,1,2014
63,P-17442,Achúcarro,Ignacio,1936-07-31,0,0,1,0,0,1,1958
64,P-67954,Aćimović,Jovan,1948-06-21,0,0,0,1,0,1,1974
65,P-44943,Ačimovič,Milenko,1977-02-15,0,0,0,0,1,1,2002
66,P-65320,Acosta,Jhonny,1983-07-21,0,0,1,0,0,2,"2014, 2018"
67,P-86410,Acosta,Kellyn,1995-07-24,0,0,0,1,0,1,2022
68,P-52241,Acosta,Wendy,1989-12-19,1,0,0,0,1,1,2015
69,P-63370,Acquah,Afriyie,1992-01-05,0,0,0,1,0,1,2014
70,P-43934,Acuña,Clarence,1975-02-08,0,0,0,1,0,1,1998
71,P-79480,Acuña,Juan,1923-01-11,0,1,0,0,0,1,1950
72,P-73712,Acuña,Marcos,1991-10-28,0,0,1,1,0,2,"2018, 2022"
73,P-17884,Acuña,Roberto,1972-03-25,0,0,0,1,0,3,"1998, 2002, 2006"
74,P-21395,Adam,Glen,1959-05-22,0,0,1,0,0,1,1982
75,P-26945,Adamache,Stere,1941-08-17,0,1,0,0,0,1,1970
76,P-34289,Adamec,Jozef,1942-02-26,0,0,0,0,1,2,"1962, 1970"
77,P-24941,Adamolekun,Olufolasade,2001-02-21,1,0,0,1,0,1,2019
78,P-92795,Adams,Ferdinand,1903-05-03,0,0,0,0,1,1,1930
79,P-40630,Adams,Stephen,1989-09-28,0,1,0,0,0,1,2014
80,P-54003,Adams,Tony,1966-10-10,0,0,1,0,0,1,1998
81,P-14151,Adams,Tyler,1999-02-14,0,0,0,1,0,1,2022
82,P-70505,Adamson,Jimmy,1929-04-04,0,0,0,1,0,1,1962
83,P-56943,Adãozinho,not applicable,1923-04-02,0,0,0,0,1,1,1950
84,P-77757,Addo,Eric,1978-11-12,0,0,1,0,0,1,2006
85,P-23846,Addo,Otto,1975-06-09,0,0,0,0,1,1,2006
86,P-56284,Addy,Lee,1985-09-26,0,0,1,0,0,1,2010
87,P-48772,Adebayor,Emmanuel,1984-02-26,0,0,0,0,1,1,2006
88,P-55821,Adekugbe,Sam,1995-01-16,0,0,1,0,0,1,2022
89,P-03894,Adelardo,not applicable,1939-09-26,0,0,0,1,0,2,"1962, 1966"
90,P-42799,Adeleye,Dele,1988-12-25,0,0,1,0,0,1,2010
91,P-49381,Ademir,not applicable,1922-11-08,0,0,0,0,1,1,1950
92,P-56969,Adepoju,Mutiu,1970-12-22,0,0,0,1,0,3,"1994, 1998, 2002"
93,P-05901,Adeyemi,Karim,2002-01-18,0,0,0,0,1,1,2022
94,P-65216,Adiyiah,Dominic,1989-11-29,0,0,0,0,1,1,2010
95,P-17027,Adjei,Sammy,1980-09-01,0,1,0,0,0,1,2006
96,P-47010,Ado,not applicable,1946-07-04,0,1,0,0,0,1,1970
97,P-67189,Adomah,Albert,1987-12-13,0,0,0,1,0,1,2014
98,P-40825,Adriana,not applicable,1968-12-26,1,0,0,0,1,1,1991
99,P-20372,Adriano,not applicable,1982-02-17,0,0,0,0,1,1,2006
100,P-47833,Advíncula,Luis,1990-03-02,0,0,1,0,0,1,2018
101,P-32222,Aebischer,Michel,1997-01-06,0,0,0,1,0,1,2022
102,P-80329,Aeby,Georges,1910-09-10,0,0,0,0,1,1,1938
103,P-40938,Aeby,Paul,1910-09-10,0,0,0,0,1,1,1938
104,P-09681,Aedo,Yanara,1993-08-05,1,0,0,0,1,1,2019
105,P-81141,Afellay,Ibrahim,1986-04-02,0,0,0,1,0,1,2010
106,P-05368,Afful,Harrison,1986-06-24,0,0,1,0,0,1,2014
107,P-47319,Afif,Akram,1996-11-18,0,0,0,0,1,1,2022
108,P-55727,Afolabi,Rabiu,1980-04-18,0,0,1,0,0,2,"2002, 2010"
109,P-76618,Afonin,Valentin,1939-12-22,0,0,1,1,0,2,"1966, 1970"
110,P-00279,Afonsinho,not applicable,1914-03-08,0,0,0,1,0,1,1938
111,P-13639,Afriyie,Daniel,2001-06-26,0,0,0,1,0,1,2022
112,P-30416,Agassa,Kossi,1978-07-02,0,1,0,0,0,1,2006
113,P-53035,Agbim,Chigozie,1984-11-28,0,1,0,0,0,1,2014
114,P-68499,Agbo,Hans,1967-09-26,0,0,1,0,0,1,1994
115,P-08310,Agboh,Kuami,1977-12-28,0,0,0,1,0,1,2006
116,P-77276,Agbonavbare,Wilfred,1966-10-05,0,1,0,0,0,1,1994
117,P-52264,Agger,Daniel,1984-12-12,0,0,1,0,0,1,2010
118,P-74228,Aghahowa,Julius,1982-02-12,0,0,0,0,1,1,2002
119,P-15991,Agnew,Lindsay,1995-03-31,1,0,1,0,0,1,2019
120,P-72797,Agoos,Jeff,1968-05-02,0,0,1,0,0,2,"1998, 2002"
121,P-44105,Agrebi,Hamadi,1951-03-20,0,0,0,1,0,1,1978
122,P-25342,Agu,Alloysius,1967-07-12,0,1,0,0,0,1,1994
123,P-77856,Águas,Rui,1960-04-28,0,0,0,0,1,1,1986
124,P-47490,Aguerd,Nayef,1996-03-30,0,0,1,0,0,1,2022
125,P-17292,Agüero,Juan Bautista,1935-06-24,0,0,0,0,1,1,1958
126,P-36870,Agüero,Sergio,1988-06-02,0,0,0,0,1,3,"2010, 2014, 2018"
127,P-75197,Aguie,Sophie,1996-12-31,1,0,1,0,0,1,2015
128,P-76705,Aguilar,Abel,1985-01-06,0,0,0,1,0,2,"2014, 2018"
129,P-72265,Aguilar,Lorena,1985-07-06,1,0,1,0,0,1,2015
130,P-01835,Aguilar,Paul,1986-03-06,0,0,1,0,0,2,"2010, 2014"
131,P-43460,Aguilar,Samuel,1933-03-16,0,1,0,0,0,1,1958
132,P-44957,Aguilera,Brandon,2003-06-28,0,0,0,1,0,1,2022
133,P-57189,Aguilera,Carlos,1964-09-21,0,0,0,0,1,2,"1986, 1990"
134,P-08700,Aguilera,Carlos,1969-05-22,0,0,1,0,0,1,1998
135,P-11212,Aguilera,Edgar,1975-07-28,0,0,1,0,0,1,1998
136,P-95800,Aguilera,Juan,1903-10-23,0,0,0,0,1,1,1930
137,P-17727,Aguilera,Oscar,1935-03-11,0,0,0,0,1,1,1958
138,P-23101,Aguinaga,Álex,1968-07-09,0,0,0,1,0,1,2002
139,P-33814,Aguirre,Francisco,not available,0,0,0,1,0,1,1930
140,P-59792,Aguirre,Javier,1958-12-01,0,0,0,1,0,1,1986
141,P-79898,Agyei,Daniel,1989-11-10,0,1,0,0,0,1,2010
142,P-89904,Agyemang-Badu,Emmanuel,1990-12-02,0,0,0,1,0,1,2014
143,P-30429,Ahlström,Thomas,1952-07-17,0,0,0,1,0,1,1974
144,P-38468,Åhlund,Olle,1920-08-22,0,0,0,1,0,1,1950
145,P-37948,Ahmadi,Rahman,1980-07-30,0,1,0,0,0,1,2014
146,P-91705,Åhman,Ronald,1957-01-31,0,0,0,1,0,1,1978
147,P-33804,Ahmed,Homam,1999-08-25,0,0,1,0,0,1,2022
148,P-27915,Ahmed,Issah,1982-05-24,0,0,1,0,0,1,2006
149,P-26616,Ahn,Jung-hwan,1976-01-27,0,0,0,0,1,3,"2002, 2006, 2010"
150,P-29011,Ahorlu,Stephen,1988-09-05,0,1,0,0,0,1,2010
151,P-34039,Ahumada,Sergio,1948-10-02,0,0,0,0,1,1,1974
152,P-09991,Aidoo,Joseph,1995-09-29,0,0,1,0,0,1,2022
153,P-25824,Aigbogun,Eseosa,1993-05-23,1,0,0,0,1,1,2015
154,P-94180,Aighewi,Amenze,1991-11-21,1,0,0,0,1,1,2011
155,P-22801,Aigner,Ernst,1966-10-31,0,0,1,0,0,1,1990
156,P-25906,Aimar,Pablo,1979-11-03,0,0,0,1,0,2,"2002, 2006"
157,P-50085,Ainon,Phancha,1992-01-26,1,0,1,0,0,2,"2015, 2019"
158,P-35569,Aird,Jock,1926-02-18,0,0,1,0,0,1,1954
159,P-66972,Airosa,Marco,1984-08-06,0,0,1,0,0,1,2006
160,P-58822,Aït Bennasser,Youssef,1996-07-07,0,0,0,1,0,1,2018
161,P-08096,Aitken,Roy,1958-11-24,0,0,1,0,0,2,"1986, 1990"
162,P-73175,Aiyenugba,Dele,1983-11-20,0,1,0,0,0,1,2010
163,P-34716,Ajayi,Florence,1977-04-28,1,0,1,0,0,2,"1999, 2003"
164,P-30731,Ajibade,Rasheedat,1999-12-08,1,0,0,0,1,1,2019
165,P-76883,Ajunwa,Chioma,1971-12-25,1,0,0,0,1,1,1991
166,P-62839,Akaba,Henriette,1992-06-07,1,0,0,1,1,2,"2015, 2019"
167,P-97929,Akaffou,Rita,1986-12-05,1,0,0,1,0,1,2015
168,P-48722,Akalé,Kanga,1981-03-07,0,0,0,1,0,1,2006
169,P-23925,Akanji,Manuel,1995-07-19,0,0,1,0,0,2,"2018, 2022"
170,P-64438,Aké,Nathan,1995-02-18,0,0,1,0,0,1,2022
171,P-54794,Akers,Michelle,1966-02-01,1,0,0,1,1,3,"1991, 1995, 1999"
172,P-41399,Akgün,Kaçmaz,1935-02-19,0,0,1,0,0,1,1954
173,P-47488,Akid,Mohamed,1949-07-05,0,0,0,0,1,1,1978
174,P-93242,Akide,Mercy,1975-08-26,1,0,0,1,1,3,"1995, 1999, 2003"
175,P-95453,Akinfeev,Igor,1986-04-08,0,1,0,0,0,2,"2014, 2018"
176,P-34956,Akita,Yutaka,1970-08-06,0,0,1,0,0,2,"1998, 2002"
177,P-01401,Akoto,Eric,1980-07-20,0,0,1,0,0,1,2006
178,P-42905,Akpa Akpro,Jean-Daniel,1992-10-11,0,0,1,0,0,1,2014
179,P-38185,Akpagu,Louisa,1974-12-22,1,1,0,0,0,1,1995
180,P-83020,Akpeyi,Daniel,1986-03-08,0,1,0,0,0,1,2018
181,P-07482,Akwá,not applicable,1977-05-30,0,0,0,0,1,1,2006
182,P-48288,Akwuegbu,Benedict,1974-11-03,0,0,0,0,1,1,2002
183,P-79130,Akyel,Fatih,1977-12-26,0,0,1,0,0,1,2002
184,P-76864,Al-Abed,Nawaf,1990-01-26,0,0,0,1,0,1,2022
185,P-45581,Al-Aboud,Abdulrahman,1995-06-01,0,0,0,0,1,1,2022
186,P-12335,Al-Amri,Abdulelah,1997-01-15,0,0,1,0,0,1,2022
187,P-22789,Al-Anazi,Awad,1968-09-24,0,0,1,0,0,1,1994
188,P-88607,Al-Anberi,Abdulaziz,1954-01-03,0,0,0,0,1,1,1982
189,P-45367,Al-Antaif,Tisir,1974-02-16,0,1,0,0,0,1,1998
190,P-67035,Al-Aqidi,Nawaf,2000-05-10,0,1,0,0,0,1,2022
191,P-58952,Al-Bahri,Ahmed,1980-09-18,0,0,1,0,0,1,2006
192,P-23379,Al-Bishi,Fahad,1965-09-10,0,0,0,1,0,1,1994
193,P-60833,Al-Bishi,Mohamed,1987-05-03,0,0,1,0,0,1,2006
194,P-94422,Al-Breik,Mohammed,1992-09-15,0,0,1,0,0,2,"2018, 2022"
195,P-87284,Al-Bulaihi,Ali,1989-11-21,0,0,1,0,0,2,"2018, 2022"
196,P-51432,Al-Buloushi,Abdulaziz,1962-12-04,0,0,0,0,1,1,1982
197,P-49203,Al-Buloushi,Abdullah,1960-02-16,0,0,0,0,1,1,1982
198,P-89845,Al-Buraikan,Firas,2000-05-14,0,0,0,0,1,1,2022
199,P-33410,Al-Dakhil,Faisal,1957-08-13,0,0,0,0,1,1,1982
200,P-77098,Al-Dawod,Saleh,1968-09-24,0,0,1,0,0,1,1994
201,P-10907,Al-Dawsari,Nasser,1998-12-19,0,0,0,1,0,1,2022
202,P-70583,Al-Dawsari,Salem,1991-08-19,0,0,0,1,1,2,"2018, 2022"
203,P-12996,Al-Deayea,Mohamed,1972-08-02,0,1,0,0,0,4,"1994, 1998, 2002, 2006"
204,P-53448,Al-Dokhi,Ahmed,1976-10-25,0,0,1,0,0,3,"1998, 2002, 2006"
205,P-60332,Al-Dosari,Abdullah,1969-11-01,0,0,1,0,0,1,1994
206,P-17941,Al-Dosari,Khamis,1973-09-08,0,0,0,1,0,2,"1998, 2002"
207,P-85019,Al-Dosari,Obeid,1975-10-02,0,0,0,0,1,2,"1998, 2002"
208,P-93688,Al-Faraj,Salman,1989-08-01,0,0,0,1,0,2,"2018, 2022"
209,P-00585,Al-Ghamdi,Omar,1979-04-11,0,0,0,1,0,2,"2002, 2006"
210,P-90719,Al-Ghanim,Nassir,1961-04-04,0,0,0,1,0,1,1982
211,P-06789,Al-Ghannam,Sultan,1994-05-06,0,0,1,0,0,1,2022
212,P-39267,Al-Ghesheyan,Fahad,1973-08-01,0,0,0,0,1,1,1994
213,P-17103,Al-Haddad,Abdulrahman,1966-03-23,0,0,1,0,0,1,1990
214,P-32314,Al-Haddad,Muayad,1960-01-01,0,0,0,0,1,1,1982
215,P-93316,Al-Hadhrami,Naif,2001-07-18,0,0,0,1,0,1,2022
216,P-43921,Al-Hajri,Salem,1996-04-10,0,0,0,1,0,1,2022
217,P-81321,Al-Harbi,Ibrahim,1975-07-10,0,0,0,1,0,1,1998
218,P-91707,Al-Harbi,Mansoor,1987-10-19,0,0,1,0,0,1,2018
219,P-16522,Al-Harthi,Mohsin,1976-07-17,0,0,1,0,0,1,2002
220,P-88984,Al-Harthi,Saad,1984-02-03,0,0,0,0,1,1,2006
221,P-08051,Al-Hashash,Sami,1959-09-15,0,0,1,0,0,1,1982
222,P-45413,Al-Hassan,Ali,1997-03-04,0,0,0,1,0,1,2022
223,P-38732,Al-Haydos,Hassan,1990-12-11,0,0,0,1,0,1,2022
224,P-36914,Al-Helwah,Ibrahim,1972-08-18,0,1,0,0,0,1,1994
225,P-90628,Al-Houti,Saad,1954-05-24,0,0,0,1,0,1,1982
226,P-88041,Al-Jaber,Sami,1972-12-11,0,0,0,0,1,4,"1994, 1998, 2002, 2006"
227,P-55518,Al-Jahani,Mohammed,1974-09-28,0,0,1,0,0,2,"1998, 2002"
228,P-28313,Al-Janoubi,Abdulaziz,1974-07-21,0,0,1,0,0,1,1998
229,P-68738,Al-Jasem,Waleed,1959-11-18,0,0,1,0,0,1,1982
230,P-66636,Al-Jassim,Taisir,1984-07-25,0,0,0,1,0,1,2018
231,P-26868,Al-Jumaan,Abdullah,1977-11-10,0,0,0,0,1,1,2002
232,P-82537,Al-Khaibari,Abdullah,1996-08-16,0,0,0,1,0,1,2018
233,P-04434,Al-Khaibri,Abdulmalek,1986-03-13,0,0,0,1,0,1,2018
234,P-76946,Al-Khathran,Abdulaziz,1973-07-31,0,0,1,1,0,2,"2002, 2006"
235,P-44462,Al-Khilaiwi,Mohammed,1971-08-21,0,0,1,0,0,2,"1994, 1998"
236,P-29107,Al-Khojali,Mohammed,1973-01-15,0,1,0,0,0,1,2002
237,P-20216,Al-Malki,Abdulellah,1994-10-11,0,0,0,1,0,1,2022
238,P-61496,Al-Mayouf,Abdullah,1987-01-23,0,1,0,0,0,1,2018
239,P-89920,Al-Mehallel,Fahad,1970-11-11,0,0,0,0,1,2,"1994, 1998"
240,P-77853,Al-Mogahwi,Housain,1988-03-24,0,0,0,1,0,1,2018
241,P-48279,Al-Montashari,Hamad,1982-06-22,0,0,1,0,0,1,2006
242,P-40442,Al-Mosailem,Yasser,1984-02-27,0,1,0,0,0,1,2018
243,P-24301,Al-Muwallad,Fahad,1994-09-14,0,0,0,0,1,1,2018
244,P-78753,Al-Muwallid,Khalid,1971-11-23,0,0,0,1,0,2,"1994, 1998"
245,P-87569,Al-Najei,Sami,1997-02-07,0,0,0,1,0,1,2022
246,P-41428,Al-Owairan,Saeed,1967-08-19,0,0,0,1,1,2,"1994, 1998"
247,P-85438,Al-Owais,Mohammed,1991-10-10,0,1,0,0,0,2,"2018, 2022"
248,P-15273,Al-Qabendi,Jamal,1959-04-07,0,0,1,0,0,1,1982
249,P-84226,Al-Qadi,Naif,1979-04-03,0,0,1,0,0,1,2006
250,P-87114,Al-Qahtani,Yasser,1982-10-10,0,0,0,0,1,1,2006
251,P-15161,Al-Rawi,Bassam,1997-12-16,0,0,1,0,0,1,2022
252,P-06659,Al-Rubaie,Mohammed,1997-08-14,0,1,0,0,0,1,2022
253,P-43829,Al-Sadiq,Hussein,1973-10-15,0,1,0,0,0,2,"1994, 1998"
254,P-83734,Al-Sahlawi,Mohammad,1987-01-10,0,0,0,0,1,1,2018
255,P-92151,Al-Shahrani,Ibrahim,1974-07-21,0,0,0,1,1,2,"1998, 2002"
256,P-45457,Al-Shahrani,Yasser,1992-05-25,0,0,1,0,0,2,"2018, 2022"
257,P-11262,Al-Shalhoub,Mohammad,1980-12-08,0,0,0,1,0,2,"2002, 2006"
258,P-70879,Al-Sheeb,Saad,1990-02-19,0,1,0,0,0,1,2022
259,P-48349,Al-Shehri,Fouzi,1980-05-15,0,0,1,0,0,1,2002
260,P-37308,Al-Shehri,Saleh,1993-11-01,0,0,0,0,1,1,2022
261,P-23568,Al-Shehri,Yahya,1990-06-26,0,0,0,1,0,1,2018
262,P-61662,Al-Shemmari,Hamoud,1960-09-26,0,0,1,0,0,1,1982
263,P-88598,Al-Suwayed,Yussef,1958-09-20,0,0,0,1,0,1,1982
264,P-02755,Al-Taifi,Yassir,1971-05-10,0,0,1,0,0,1,1994
265,P-11032,Al-Talyani,Adnan,1964-10-30,0,0,0,0,1,1,1990
266,P-93173,Al-Tambakti,Hassan,1999-02-09,0,0,1,0,0,1,2022
267,P-21692,Al-Tarabulsi,Ahmed,1947-03-22,0,1,0,0,0,1,1982
268,P-20886,Al-Temyat,Nawaf,1976-06-28,0,0,0,1,0,3,"1998, 2002, 2006"
269,P-12568,Al-Thagafi,Mansour,1979-01-14,0,0,1,0,0,1,2002
270,P-30161,Al-Thunayan,Yousuf,1963-11-18,0,0,0,1,0,1,1998
271,P-75813,Al-Waked,Abdullah,1975-09-29,0,0,0,1,0,1,2002
272,P-00683,Al-Yami,Al Hasan,1972-08-21,0,0,0,0,1,1,2002
273,P-57100,Alaaeldin,Ahmed,1993-01-31,0,0,0,0,1,1,2022
274,P-30493,Aladzhov,Stefan,1947-10-18,0,0,1,0,0,2,"1970, 1974"
275,P-35111,Alagich,Dianne,1979-05-12,1,0,1,0,0,3,"1999, 2003, 2007"
276,P-50217,Alaoui,Ahmed,1949-01-01,0,0,0,0,1,1,1970
277,P-62567,Alaoui,Zakaria,1966-06-17,0,1,0,0,0,1,1994
278,P-01416,Alba,Jordi,1989-03-21,0,0,1,0,0,3,"2014, 2018, 2022"
279,P-32516,Albarracín,Ernesto,1907-09-25,0,0,0,1,0,1,1934
280,P-21683,Albelda,David,1977-09-01,0,0,0,1,0,2,"2002, 2006"
281,P-21188,Albert,Flórián,1941-09-15,0,0,0,1,1,2,"1962, 1966"
282,P-43307,Albert,Philippe,1967-08-10,0,0,1,0,0,2,"1990, 1994"
283,P-87231,Albertini,Demetrio,1971-08-23,0,0,0,1,0,2,"1994, 1998"
284,P-25829,Alberto,Carlos,1944-07-17,0,0,1,0,0,1,1970
285,P-70569,Alberto,Julio,1958-10-07,0,0,1,0,0,1,1986
286,P-73673,Albertosi,Enrico,1939-11-02,0,1,0,0,0,4,"1962, 1966, 1970, 1974"
287,P-24647,Albiol,Raúl,1985-09-04,0,0,1,0,0,2,"2010, 2014"
288,P-39517,Albiston,Arthur,1957-07-14,0,0,1,0,0,1,1986
289,P-75764,Albornoz,Miiko,1990-11-30,0,0,1,0,0,1,2014
290,P-43807,Alborta,Mario,1910-09-19,0,0,0,0,1,1,1930
291,P-82536,Albrecht,Ernst,1907-11-12,0,0,0,1,0,1,1934
292,P-06647,Albrecht,Milan,1950-07-16,0,0,0,0,1,1,1970
293,P-27099,Albrecht,Rafael,1941-08-23,0,0,1,1,0,2,"1962, 1966"
294,P-59999,Albright,Chris,1979-01-14,0,0,1,0,0,1,2006
295,P-76189,Albu,Gheorghe,1909-09-12,0,0,1,0,0,1,1934
296,P-87859,Alcaraz,Antolín,1982-07-30,0,0,1,0,0,1,2010
297,P-34547,Alcaraz,Francisco,1960-10-04,0,0,0,0,1,1,1986
298,P-09225,Alcazar,Joseph,1911-06-15,0,0,0,0,1,1,1934
299,P-66524,Alcindo,not applicable,1945-12-16,0,0,0,0,1,1,1966
300,P-56505,Aldair,not applicable,1965-11-30,0,0,1,0,0,3,"1990, 1994, 1998"
301,P-70547,Alderweireld,Toby,1989-03-02,0,0,1,0,0,3,"2014, 2018, 2022"
302,P-42603,Aldridge,John,1958-09-18,0,0,0,0,1,2,"1990, 1994"
303,P-86677,Aleinikov,Sergei,1961-11-07,0,0,0,1,0,2,"1986, 1990"
304,P-80210,Alejandrez,Juan Manuel,1944-05-17,0,0,1,0,0,1,1970
305,P-96679,Aleksandrov,Petar,1962-12-07,0,0,0,0,1,1,1994
306,P-76896,Alemão,not applicable,1961-11-22,0,0,0,1,0,2,"1986, 1990"
307,P-82861,Alenemeh,Ahmad,1982-10-10,0,0,1,0,0,1,2014
308,P-51792,Alenichev,Dmitri,1972-10-20,0,0,0,1,0,1,2002
309,P-76817,Alexander,Lee,1991-09-23,1,1,0,0,0,1,2019
310,P-05318,Alexander-Arnold,Trent,1998-10-07,0,0,1,0,0,2,"2018, 2022"
311,P-42808,Alexandersson,Niclas,1971-12-29,0,0,0,1,0,2,"2002, 2006"
312,P-80966,Alexandris,Alexis,1968-10-21,0,0,0,0,1,1,1994
313,P-22433,Alexanko,José Ramón,1956-05-19,0,0,1,0,0,1,1982
314,P-20597,Alexiou,Alexis,1963-09-08,0,0,1,0,0,1,1994
315,P-98623,Alexoudis,Alexis,1972-06-20,0,0,0,0,1,1,1994
316,P-21488,Alfaro,Mauricio,1956-02-13,0,0,0,1,0,1,1982
317,P-82853,Alfaro,Wardy,1977-12-31,0,1,0,0,0,1,2006
318,P-00034,Alfonso,not applicable,1972-09-26,0,0,0,0,1,1,1998
319,P-83086,Alfredo,not applicable,1920-01-01,0,0,0,0,1,1,1950
320,P-93949,Alfredo,not applicable,1924-10-27,0,0,1,0,0,1,1954
321,P-06277,Alfredo,not applicable,1946-10-18,0,0,1,0,0,1,1974
322,P-11079,Algarañaz,Víctor Celestino,1926-04-06,0,0,0,0,1,1,1950
323,P-01930,Ali,Almoez,1996-08-19,0,0,0,0,1,1,2022
324,P-32244,Ali,Jamal,1956-02-02,0,0,0,1,0,1,1986
325,P-09384,Aline,not applicable,1982-07-06,1,1,0,0,0,1,2019
326,P-84724,Aline,not applicable,1982-07-06,1,0,1,0,0,2,"2007, 2011"
327,P-67549,Alisa,Rukpinij,1995-02-02,1,0,0,0,1,1,2015
